Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors,Date_Joined_Year,Years_to_Unicorn,Year_Founded,Company_Age_2025,Log_Valuation,Is_Tech_Hub,Is_Silicon_Valley,Country_Tier,Investor_Count,Has_Top_VC,Is_Tech_Intensive,Ind_Enterprise_Tech,Ind_Fintech,Ind_Healthcare,Ind_Other,Era_2010-2014,Era_2015-2019,Era_2020+,Era_Pre-2000,ValCat_Medium,ValCat_Mega,ValCat_Small
OpenAI,500.0,2019-07-22,United States,San Francisco,Enterprise Tech,"Khosla Ventures, Thrive Capital, Sequoia Capital",2019,4,2015,10,6.214608098422191,1,1,1,3,1,1,True,False,False,False,False,True,False,False,False,True,False
SpaceX,400.0,2012-12-01,United States,Hawthorne,Industrials,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",2012,10,2002,23,5.991464547107982,0,0,1,3,0,0,False,False,False,True,False,False,False,False,False,True,False
ByteDance,300.0,2017-04-07,China,Beijing,Media & Entertainment,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, SoftBank Group",2017,5,2012,13,5.703782474656201,1,0,1,4,1,1,False,False,False,False,True,False,False,False,False,True,False
Anthropic,183.0,2023-02-03,United States,San Francisco,Enterprise Tech,Google,2023,2,2021,4,5.209486152841421,1,1,1,1,0,1,True,False,False,False,False,False,True,False,False,True,False
Databricks,100.0,2019-02-05,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",2019,6,2013,12,4.605170185988092,1,1,1,3,1,1,True,False,False,False,True,False,False,False,False,True,False
Revolut,75.0,2018-04-26,United Kingdom,London,Financial Services,"Index Ventures, DST Global, Ribbit Capital",2018,3,2015,10,4.31748811353631,1,0,2,3,0,1,False,True,False,False,False,True,False,False,False,True,False
Stripe,70.0,2014-01-23,United States,San Francisco,Financial Services,"Khosla Ventures, LowercaseCapital, capitalG",2014,4,2010,15,4.248495242049359,1,1,1,3,1,1,False,True,False,False,True,False,False,False,False,True,False
SHEIN,66.0,2018-07-03,Singapore,Singapore,Consumer & Retail,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",2018,10,2008,17,4.189654742026425,0,0,2,3,1,1,False,False,False,False,False,False,False,False,False,True,False
xAI,50.0,2024-05-26,United States,Burlingame,Enterprise Tech,"Sequoia Capital, Andreessen Horowitz, VY Capital",2024,1,2023,2,3.912023005428146,0,0,1,3,1,1,True,False,False,False,False,False,True,False,False,True,False
Figure,39.0,2024-02-23,United States,Sunnyvale,Industrials,"Intel Capital, Parkway VC, Amazon Industrial Innovation Fund",2024,2,2022,3,3.6635616461296463,0,0,1,3,0,0,False,False,False,True,False,False,True,False,False,False,False
Canva,32.0,2018-01-08,Australia,Surry Hills,Enterprise Tech,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",2018,6,2012,13,3.4657359027997265,0,0,3,3,1,1,True,False,False,False,True,False,False,False,False,False,False
Fanatics,31.0,2012-06-06,United States,Jacksonville,Consumer & Retail,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",2012,17,1995,30,3.4339872044851463,0,0,1,3,1,1,False,False,False,False,False,False,False,True,False,False,False
Epic Games,22.5,2018-10-26,United States,Cary,Media & Entertainment,"Tencent Holdings, KKR, Smash Ventures",2018,27,1991,34,3.1135153092103742,0,0,1,3,0,1,False,False,False,False,False,False,False,True,False,False,False
Chime,25.0,2019-03-05,United States,San Francisco,Financial Services,"Forerunner Ventures, Crosslink Capital, Homebrew",2019,6,2013,12,3.2188758248682006,1,1,1,3,0,1,False,True,False,False,True,False,False,False,False,False,False
Ramp,22.5,2021-03-29,United States,New York,Enterprise Tech,"D1 Capital Partners, Stripe, Coatue Management",2021,2,2019,6,3.1135153092103742,1,0,1,3,0,1,True,False,False,False,False,True,False,False,False,False,False
Perplexity,20.0,2024-04-23,United States,San Francisco,Enterprise Tech,"New Enterprise Associates, Institutional Venture Partners, NVentures",2024,2,2022,3,2.995732273553991,1,1,1,3,0,1,True,False,False,False,False,False,True,False,False,False,False
Miro,17.5,2022-01-05,United States,San Francisco,Enterprise Tech,"Accel, AltaIR Capital, Technology Crossover Ventures",2022,11,2011,14,2.8622008809294686,1,1,1,3,1,1,True,False,False,False,True,False,False,False,False,False,False
Xiaohongshu,17.0,2016-03-31,China,Shanghai,Media & Entertainment,"GGV Capital, ZhenFund, Tencent",2016,3,2013,12,2.833213344056216,0,0,1,3,0,1,False,False,False,False,True,False,False,False,False,False,False
Rippling,16.8,2020-08-04,United States,San Francisco,Enterprise Tech,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",2020,3,2017,8,2.8213788864092133,1,1,1,3,1,1,True,False,False,False,False,True,False,False,False,False,False
Yuanfudao,15.5,2017-05-31,China,Beijing,Consumer & Retail,"Tencent Holdings, Warbug Pincus, IDG Capital",2017,5,2012,13,2.740840023925201,1,0,1,3,0,1,False,False,False,False,True,False,False,False,False,False,False
DJI Innovations,15.0,2015-01-23,China,Shenzhen,Industrials,"Accel Partners, Sequoia Capital",2015,9,2006,19,2.70805020110221,1,0,1,2,1,0,False,False,False,True,False,False,False,False,False,False,False
Discord,15.0,2018-04-20,United States,San Francisco,Media & Entertainment,"Benchmark, Greylock Partners, Tencent Holdings",2018,6,2012,13,2.70805020110221,1,1,1,3,1,1,False,False,False,False,True,False,False,False,False,False,False
Gopuff,15.0,2020-10-08,United States,Philadelphia,Consumer & Retail,"Accel, SoftBank Group, Anthos Capital",2020,7,2013,12,2.70805020110221,0,0,1,3,1,1,False,False,False,False,True,False,False,False,False,False,False
Yuanqi Senlin,15.0,2020-03-01,China,Beijing,Consumer & Retail,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",2020,4,2016,9,2.70805020110221,1,0,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False
Ripple,15.0,2019-12-20,United States,San Francisco,Financial Services,"IDG Capital, Venture51, Lightspeed Venture Partners",2019,7,2012,13,2.70805020110221,1,1,1,3,1,1,False,True,False,False,True,False,False,False,False,False,False
Anduril,14.0,2019-09-11,United States,Irvine,Industrials,"Andreessen Horowitz, Founders Fund, Revolution Ventures",2019,2,2017,8,2.6390573296152584,0,0,1,3,1,0,False,False,False,True,False,True,False,False,False,False,False
Scale,13.8,2019-08-05,United States,San Francisco,Enterprise Tech,"Accel, Y Combinator, Index Ventures",2019,3,2016,9,2.624668592163159,1,1,1,3,1,1,True,False,False,False,False,True,False,False,False,False,False
OpenSea,13.3,2021-07-20,United States,New York,Media & Entertainment,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",2021,4,2017,8,2.5877640352277083,1,0,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False
Celonis,13.0,2018-06-26,Germany,Munich,Enterprise Tech,"Accel, 83North",2018,7,2011,14,2.5649493574615367,0,0,2,2,1,1,True,False,False,False,True,False,False,False,False,False,False
Grammarly,13.0,2019-10-10,United States,San Francisco,Media & Entertainment,"General Catalyst, Institutional Venture Partners, Breyer Capital",2019,10,2009,16,2.5649493574615367,1,1,1,3,1,1,False,False,False,False,False,False,False,False,False,False,False
Devoted Health,12.9,2018-10-16,United States,Waltham,Healthcare & Life Sciences,"Andreessen Horowitz, F-Prime Capital, Venrock",2018,1,2017,8,2.5572273113676265,0,0,1,3,1,0,False,False,True,False,False,True,False,False,False,False,False
Faire,12.59,2019-10-30,United States,San Francisco,Consumer & Retail,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",2019,2,2017,8,2.532902848056256,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False
Labs,12.5,2025-04-18,United States,Beverly Hills,Enterprise Tech,"JET Venture Capital, Sivad VC",2025,12,2013,12,2.5257286443082556,0,0,1,2,0,1,True,False,False,False,True,False,False,False,False,False,False
Brex,12.3,2018-10-05,United States,San Francisco,Enterprise Tech,"DST Global, Ribbit Capital, Greenoaks Capital Management",2018,1,2017,8,2.509599262378372,1,1,1,3,0,1,True,False,False,False,False,True,False,False,False,False,False
JUUL Labs,12.0,2017-12-20,United States,San Francisco,Consumer & Retail,Tiger Global Management,2017,2,2015,10,2.4849066497880004,1,1,1,1,1,1,False,False,False,False,False,True,False,False,False,False,False
Bitmain Technologies,12.0,2018-07-06,China,Beijing,Enterprise Tech,"Coatue Management, Sequoia Capital China, IDG Capital",2018,3,2015,10,2.4849066497880004,1,0,1,3,1,1,True,False,False,False,False,True,False,False,False,False,False
GoodLeap,12.0,2021-10-13,United States,Roseville,Financial Services,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",2021,18,2003,22,2.4849066497880004,0,0,1,3,0,1,False,True,False,False,False,False,False,False,False,False,False
