Feature,Importance
Year_Founded,0.7877661826610789
Investors_x_Year,0.030990447538581146
Investor_Efficiency,0.0235614125876196
Val_per_Investor,0.02053992648151847
Valuation ($B),0.018546539432796796
Log_Valuation,0.018069671005581246
Era_2010-2014,0.011966218435401499
Country_Tier,0.011029618656370095
Investors_x_Era_2010-2014,0.010435628969531886
Ind_Enterprise_Tech,0.009813494772979723
TopVC_x_Year,0.0064203112979980045
Is_Tech_Hub,0.00633167275331211
Is_Silicon_Valley,0.005140812200811657
Ind_Fintech,0.005114213915806596
Hub_x_TopVC,0.004395455469316386
Ind_Other,0.004095073328091772
Is_Tech_Intensive,0.003823447435510788
Investor_Count,0.003767121783493279
VC_Quality_Score,0.0032508429698866596
Log_Investors,0.0029422946920913944
Has_Top_VC,0.0021793231047882626
Ind_Healthcare,0.0020693093024481764
Investors_x_Era_2020+,0.0019079269181853196
Investors_x_Era_2015-2019,0.0013370735951195132
TopVC_x_Era_2010-2014,0.0013351325342335985
Investors_x_Era_Pre-2000,0.0007108397858734195
TopVC_x_Era_Pre-2000,0.0006268004740205632
TopVC_x_Era_2015-2019,0.0006121374843565802
Era_Pre-2000,0.0005185339858852924
Era_2015-2019,0.0003838650291148352
Era_2020+,0.0001754329649382411
TopVC_x_Era_2020+,0.00014323843325837342
